date,weight_kg,calories,protein_g,steps,notes
2026-07-20,81.25,740,62,,start; partial calories; gym upper/back/arms
2026-07-21,79.95,2115,161,,Emco protein stick + 2 scoops Organis + Billa protein sandwich + Monster + Norwegian salmon w/ pea puree + ~1/3 Plzen + white wine 1 glass + 150g chicken breast (macros estimated)
2026-07-22,79.05,2060,113,,Pork liver w/ onions + half rice + cucumber-dill salad + iced flat white w/ oat milk + Emco protein stick + 5x big Plzen 500ml + 2 servings Vilgain Clear plant protein (macros estimated)
2026-07-23,79.85,1310,64,,Ham chlebicek (lettuce+cherry tomato) + pistachio croissant + panna cotta + beet salad w/ 2 halloumi + beef in red wine w/ mash (left ~half mash) + bowl of fruit + watermelon (evening; asleep 7pm) (macros estimated)
2026-07-24,79.95,1489,128,,Apricot (merunka) + coffee w/ Vemondo high-protein soy drink + 1 nectarine + 100g grapes (pre-run) + dm Sportness preworkout + Weider Premium EAA + 1 carrot + vegan plate (beans/legume+vegan meat; fried veggie patty; spring roll; salad) + 100g Pikok turkey high-protein ham + 2 scoops Vilgain Clear plant protein + 2 scoops Vilgain Collagen Complex (~20g collagen; NOT counted toward protein target - incomplete) + electrolytes (macros estimated)
2026-07-25,79.95,365,34,,Coffee w/ Vemondo high-protein soy + 2x Tesco lentil & rice protein cakes + ~100g Pikok chicken high-protein ham (amount approx) + pickles + red cabbage salad + mayoketchup (macros estimated)
